run_name,task_id,ref_status,run_failure_category,run_status,run_diagnostic
ABC_dedup_BC,0,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_dedup_BC,4,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,8,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,11,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,18,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_dedup_BC,21,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,25,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,31,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_dedup_BC,34,OK,runtime_error,runtime_err,status=runtime_err | score=0 | extraction_status=ok
ABC_dedup_BC,39,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_dedup_BC,40,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_dedup_BC,41,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,43,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_dedup_BC,46,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,52,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,53,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_dedup_BC,56,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,61,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,62,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,63,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,64,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,65,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_dedup_BC,67,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,69,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,70,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_dedup_BC,72,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,73,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,79,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,80,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,91,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,93,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,97,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,100,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,104,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,106,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,121,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,138,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_dedup_BC,150,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_dedup_BC,154,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_dedup_BC,159,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_filtered_accept,4,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=warning
ABC_filtered_accept,11,OK,generation_or_parse_error,exception,status=exception | score=0 | extraction_status=ok
ABC_filtered_accept,15,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=warning
ABC_filtered_accept,35,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_filtered_accept,46,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=warning
ABC_filtered_accept,49,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_filtered_accept,50,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_filtered_accept,53,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_filtered_accept,57,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=warning
ABC_filtered_accept,60,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_filtered_accept,67,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=warning
ABC_filtered_accept,70,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=warning
ABC_filtered_accept,79,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_filtered_accept,89,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_filtered_accept,91,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_filtered_accept,93,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_filtered_accept,96,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=warning
ABC_filtered_accept,97,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_filtered_accept,99,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_filtered_accept,104,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=warning
ABC_filtered_accept,121,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_filtered_accept,123,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_filtered_accept,154,OK,wrong_output,ineq,status=ineq | score=0 | extraction_status=ok
ABC_filtered_accept,159,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_filtered_accept_A,0,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_filtered_accept_A,2,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_filtered_accept_A,8,OK,runtime_error,runtime_err,status=runtime_err | score=0 | extraction_status=ok
ABC_filtered_accept_A,11,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
ABC_filtered_accept_A,15,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=warning
ABC_filtered_accept_A,18,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=warning
ABC_filtered_accept_A,36,OK,compile_error,compile_err,status=compile_err | score=0 | extraction_status=ok
