epoch	lr	experiment	model_key	concurrency	ok	pass_at_1	evaluated_at	solution_exists	solution_size	solution_mtime	summary_path	solution_path
epoch1	learning_rate_1	ft_ABC_Strong	ft_ABC_Strong_humaneval_mistral_conc20	20	19	0.11585365853658537	2026-06-22T13:19:06.546437	True	785604	2026-08-07T10:55:29	epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc20_evaluation_summary.json	epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_Strong_humaneval_mistral_conc20_solutions.json
epoch1	learning_rate_1	ft_ABC_Strong	ft_ABC_Strong_humaneval_mistral_conc3	3	21	0.12804878048780488	2026-06-18T16:12:54.733313	True	760191	2026-08-07T10:55:29	epoch1/learning_rate_1/results/ft_ABC_Strong_humaneval_mistral_conc3_evaluation_summary.json	epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_Strong_humaneval_mistral_conc3_solutions.json
epoch1	learning_rate_1	ft_ABC_dedup_BC	ft_ABC_dedup_BC_humaneval_mistral_conc20	20	22	0.13414634146341464	2026-06-22T11:01:27.889415	True	791282	2026-08-07T10:55:45	epoch1/learning_rate_1/results/ft_ABC_dedup_BC_humaneval_mistral_conc20_evaluation_summary.json	epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_dedup_BC_humaneval_mistral_conc20_solutions.json
epoch1	learning_rate_1	ft_ABC_filtered_accept	ft_ABC_filtered_accept_humaneval_mistral_conc20	20	26	0.15853658536585366	2026-06-24T16:40:08.557099	True	708569	2026-08-07T10:55:29	epoch1/learning_rate_1/results/ft_ABC_filtered_accept_humaneval_mistral_conc20_evaluation_summary.json	epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_filtered_accept_humaneval_mistral_conc20_solutions.json
epoch1	learning_rate_1	ft_ABC_filtered_manual	ft_ABC_filtered_manual_humaneval_mistral_conc20	20	2	0.012195121951219513	2026-06-24T16:40:12.586558	True	116605	2026-08-07T10:54:36	epoch1/learning_rate_1/results/ft_ABC_filtered_manual_humaneval_mistral_conc20_evaluation_summary.json	epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_filtered_manual_humaneval_mistral_conc20_solutions.json
epoch1	learning_rate_1	ft_ABC_filtered_reject	ft_ABC_filtered_reject_humaneval_mistral_conc20	20	21	0.12804878048780488	2026-06-24T17:05:15.409535	True	804393	2026-08-07T10:55:45	epoch1/learning_rate_1/results/ft_ABC_filtered_reject_humaneval_mistral_conc20_evaluation_summary.json	epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_filtered_reject_humaneval_mistral_conc20_solutions.json
epoch1	learning_rate_1	ft_ABC_source_burkardt	ft_ABC_source_burkardt_humaneval_mistral_conc20	20	31	0.18902439024390244	2026-06-22T11:25:00.907053	True	879940	2026-08-07T10:55:45	epoch1/learning_rate_1/results/ft_ABC_source_burkardt_humaneval_mistral_conc20_evaluation_summary.json	epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_source_burkardt_humaneval_mistral_conc20_solutions.json
epoch1	learning_rate_1	ft_ABC_source_fortran_lang	ft_ABC_source_fortran_lang_humaneval_mistral_conc20	20	41	0.25	2026-06-22T11:43:18.995763	True	982591	2026-08-07T10:55:45	epoch1/learning_rate_1/results/ft_ABC_source_fortran_lang_humaneval_mistral_conc20_evaluation_summary.json	epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_source_fortran_lang_humaneval_mistral_conc20_solutions.json
epoch1	learning_rate_1	ft_ABC_source_numerical_methods	ft_ABC_source_numerical_methods_humaneval_mistral_conc20	20	38	0.23170731707317074	2026-06-22T12:19:44.452888	True	983312	2026-08-07T10:55:45	epoch1/learning_rate_1/results/ft_ABC_source_numerical_methods_humaneval_mistral_conc20_evaluation_summary.json	epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_source_numerical_methods_humaneval_mistral_conc20_solutions.json
epoch1	learning_rate_1	ft_ABC_source_numericalhub	ft_ABC_source_numericalhub_humaneval_mistral_conc20	20	28	0.17073170731707318	2026-06-22T12:04:41.027160	True	905667	2026-08-07T10:55:45	epoch1/learning_rate_1/results/ft_ABC_source_numericalhub_humaneval_mistral_conc20_evaluation_summary.json	epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_source_numericalhub_humaneval_mistral_conc20_solutions.json
epoch1	learning_rate_1	ft_ABC_source_stack_v1	ft_ABC_source_stack_v1_humaneval_mistral_conc20	20	31	0.18902439024390244	2026-06-22T12:38:34.535741	True	810856	2026-08-07T10:55:45	epoch1/learning_rate_1/results/ft_ABC_source_stack_v1_humaneval_mistral_conc20_evaluation_summary.json	epoch1/learning_rate_1/results_qwen_lora/solutions/ft_ABC_source_stack_v1_humaneval_mistral_conc20_solutions.json
