path	base_model	datasets	load_in_4bit	load_in_8bit	adapter	lora_r	lora_alpha	lora_dropout	lora_target_modules	sequence_len	micro_batch_size	gradient_accumulation_steps	num_epochs	learning_rate	val_set_size	optimizer	lr_scheduler	warmup_ratio	weight_decay	bf16	tf32	gradient_checkpointing	sample_packing	evals_per_epoch	saves_per_epoch
04_DSAdel1/00_DStypeA/axolotl.yaml	/path/to/models/Qwen3.6-27B	/path/to/work/AI/finetuning/last_datasets/20260706_datasetsAdel/train_A_chat.jsonl	True		qlora	16	32		q_proj,k_proj,v_proj,o_proj,down_proj,up_proj,linear_attn.in_proj_qkv,linear_attn.in_proj_z,linear_attn.out_proj	16384	1	2	1	2e-05	0.05	adamw_torch_4bit	cosine	0.1	0.0	auto	True	False	True	4	1
04_DSAdel1/01_DSTypeB/axolotl.yaml	/path/to/models/Qwen3.6-27B	/path/to/work/AI/finetuning/last_datasets/20260706_datasetsAdel/train_B_chat.jsonl	True		qlora	16	32		q_proj,k_proj,v_proj,o_proj,down_proj,up_proj,linear_attn.in_proj_qkv,linear_attn.in_proj_z,linear_attn.out_proj	16384	1	2	1	2e-05	0.05	adamw_torch_4bit	cosine	0.1	0.0	auto	True	False	True	4	1
04_DSAdel1/02_DSTypeC/axolotl.yaml	/path/to/models/Qwen3.6-27B	/path/to/work/AI/finetuning/last_datasets/20260706_datasetsAdel/train_C_chat.jsonl	True		qlora	16	32		q_proj,k_proj,v_proj,o_proj,down_proj,up_proj,linear_attn.in_proj_qkv,linear_attn.in_proj_z,linear_attn.out_proj	16384	1	2	1	2e-05	0.05	adamw_torch_4bit	cosine	0.1	0.0	auto	True	False	True	4	1
04_DSAdel1/03_DSTypeABC_dedup_BC/axolotl.yaml	/path/to/models/Qwen3.6-27B	/path/to/work/AI/finetuning/last_datasets/20260706_datasetsAdel/train_ABC_dedup_BC_chat.jsonl	True		qlora	16	32		q_proj,k_proj,v_proj,o_proj,down_proj,up_proj,linear_attn.in_proj_qkv,linear_attn.in_proj_z,linear_attn.out_proj	16384	1	2	1	2e-05	0.05	adamw_torch_4bit	cosine	0.1	0.0	auto	True	False	True	4	1
04_DSAdel1/04_DSTypeA_half1_next200/axolotl.yaml	/path/to/models/Qwen3.6-27B	/path/to/work/AI/finetuning/last_datasets/20260706_datasetsAdel/train_A_half1_next200_chat.jsonl	True		qlora	16	32		q_proj,k_proj,v_proj,o_proj,down_proj,up_proj,linear_attn.in_proj_qkv,linear_attn.in_proj_z,linear_attn.out_proj	16384	1	2	1	2e-05	0.05	adamw_torch_4bit	cosine	0.1	0.0	auto	True	False	True	4	1
06_DSAdel2/00_DSTypeANew/00_1epochs/00_lr2e-5/axolotl.yaml	/path/to/models/Qwen3.6-27B	/path/to/finetuning/datasets/dataset_A_new_version.jsonl	True		qlora	16	32		q_proj,k_proj,v_proj,o_proj,down_proj,up_proj,linear_attn.in_proj_qkv,linear_attn.in_proj_z,linear_attn.out_proj	16384	1	2	1	2e-05	0.05	adamw_torch_4bit	cosine	0.1	0.0	auto	True	False	True	4	1
06_DSAdel2/00_DSTypeANew/00_1epochs/01_lr2e-4/axolotl.yaml	/path/to/models/Qwen3.6-27B	/path/to/finetuning/datasets/dataset_A_new_version.jsonl	True		qlora	16	32		q_proj,k_proj,v_proj,o_proj,down_proj,up_proj,linear_attn.in_proj_qkv,linear_attn.in_proj_z,linear_attn.out_proj	16384	1	2	1	0.0002	0.05	adamw_torch_4bit	cosine	0.1	0.0	auto	True	False	True	4	1
06_DSAdel2/00_DSTypeANew/01_2epochs/00_lr2e-5/axolotl.yaml	/path/to/models/Qwen3.6-27B	/path/to/finetuning/datasets/dataset_A_new_version.jsonl	True		qlora	16	32		q_proj,k_proj,v_proj,o_proj,down_proj,up_proj,linear_attn.in_proj_qkv,linear_attn.in_proj_z,linear_attn.out_proj	16384	1	2	2	2e-05	0.05	adamw_torch_4bit	cosine	0.1	0.0	auto	True	False	True	4	1
06_DSAdel2/00_DSTypeANew/01_2epochs/01_lr2e-4/axolotl.yaml	/path/to/models/Qwen3.6-27B	/path/to/finetuning/datasets/dataset_A_new_version.jsonl	True		qlora	16	32		q_proj,k_proj,v_proj,o_proj,down_proj,up_proj,linear_attn.in_proj_qkv,linear_attn.in_proj_z,linear_attn.out_proj	16384	1	2	2	0.0002	0.05	adamw_torch_4bit	cosine	0.1	0.0	auto	True	False	True	4	1
06_DSAdel2/00_DSTypeANew/01_2epochs/02_lr3e-4/axolotl.yaml	/path/to/models/Qwen3.6-27B	/path/to/finetuning/datasets/dataset_A_new_version.jsonl	True		qlora	16	32		q_proj,k_proj,v_proj,o_proj,down_proj,up_proj,linear_attn.in_proj_qkv,linear_attn.in_proj_z,linear_attn.out_proj	16384	1	2	2	0.0003	0.05	adamw_torch_4bit	cosine	0.1	0.0	auto	True	False	True	4	1
06_DSAdel2/00_DSTypeANew/01_2epochs/03_lr5e-4/axolotl.yaml	/path/to/models/Qwen3.6-27B	/path/to/finetuning/datasets/dataset_A_new_version.jsonl	True		qlora	16	32		q_proj,k_proj,v_proj,o_proj,down_proj,up_proj,linear_attn.in_proj_qkv,linear_attn.in_proj_z,linear_attn.out_proj	16384	1	2	2	0.0005	0.05	adamw_torch_4bit	cosine	0.1	0.0	auto	True	False	True	4	1
06_DSAdel2/00_DSTypeANew/02_3epochs/00_lr2e-5/axolotl.yaml	/path/to/models/Qwen3.6-27B	/path/to/finetuning/datasets/dataset_A_new_version.jsonl	True		qlora	16	32		q_proj,k_proj,v_proj,o_proj,down_proj,up_proj,linear_attn.in_proj_qkv,linear_attn.in_proj_z,linear_attn.out_proj	16384	1	2	3	2e-05	0.05	adamw_torch_4bit	cosine	0.1	0.0	auto	True	False	True	4	1
